abilities,name,pokedex_number,japanese_name,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,base_egg_steps,base_happiness,weight_kg,capture_rate,classfication,experience_growth,height_m,base_total,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,stage
"['Rock Head', 'Sturdy', 'Weak Armor']",Onix,95,Iwarkイワーク,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,6400,70,210,45,Rock Snake Pokémon,1000000,8.8,385,35,45,160,30,45,70,1,0,0
"['Insomnia', 'Forewarn', 'Inner Focus']",Drowzee,96,Sleepeスリープ,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,32.4,190,Hypnosis Pokémon,1000000,1,328,60,48,45,43,90,42,1,0,0
"['Insomnia', 'Forewarn', 'Inner Focus']",Hypno,97,Sleeperスリーパー,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,75.6,75,Hypnosis Pokémon,1000000,1.6,483,85,73,70,73,115,67,1,0,1
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",Krabby,98,Crabクラブ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,6.5,225,River Crab Pokémon,1000000,0.4,325,30,105,90,25,25,50,1,0,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",Kingler,99,Kinglerキングラー,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,60,60,Pincer Pokémon,1000000,1.3,475,55,130,115,50,50,75,1,0,1
"['Soundproof', 'Static', 'Aftermath']",Voltorb,100,Biriridamaビリリダマ,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,,5120,70,10.4,190,Ball Pokémon,1000000,0.5,330,40,30,50,55,55,100,1,0,0
"['Soundproof', 'Static', 'Aftermath']",Electrode,101,Marumineマルマイン,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,,5120,70,66.6,60,Ball Pokémon,1000000,1.2,490,60,50,70,80,80,150,1,0,1
"['Chlorophyll', 'Harvest']",Exeggcute,102,Tamatamaタマタマ,grass,psychic,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,50,5120,70,2.5,90,Egg Pokémon,1250000,0.4,325,60,40,80,60,45,40,1,0,0
"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",Exeggutor,103,Nassyナッシー,grass,psychic,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,50,5120,70,,45,Coconut Pokémon,1250000,,530,95,105,85,125,75,45,1,0,1
"['Rock Head', 'Lightningrod', 'Battle Armor']",Cubone,104,Karakaraカラカラ,ground,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,6.5,190,Lonely Pokémon,1000000,0.4,320,50,50,95,40,50,35,1,0,0
"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",Marowak,105,Garagaraガラガラ,ground,fire,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,,75,Bone Keeper Pokémon,1000000,,425,60,80,110,50,80,45,1,0,1
"['Limber', 'Reckless', 'Unburden']",Hitmonlee,106,Sawamularサワムラー,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,6400,70,49.8,45,Kicking Pokémon,1000000,1.5,455,50,120,53,35,110,87,1,0,1
"['Keen Eye', 'Iron Fist', 'Inner Focus']",Hitmonchan,107,Ebiwalarエビワラー,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,6400,70,50.2,45,Punching Pokémon,1000000,1.4,455,50,105,79,35,110,76,1,0,1
"['Own Tempo', 'Oblivious', 'Cloud Nine']",Lickitung,108,Beroringaベロリンガ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,5120,70,65.5,45,Licking Pokémon,1000000,1.2,385,90,55,75,60,75,30,1,0,0
['Levitate'],Koffing,109,Dogarsドガース,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,5120,70,1,190,Poison Gas Pokémon,1000000,0.6,340,40,65,95,60,45,35,1,0,0
['Levitate'],Weezing,110,Matadogasマタドガス,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,5120,70,9.5,60,Poison Gas Pokémon,1000000,1.2,490,65,90,120,85,70,60,1,0,1
"['Lightningrod', 'Rock Head', 'Reckless']",Rhyhorn,111,Sihornサイホーン,ground,rock,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,5120,70,115,120,Spikes Pokémon,1250000,1,345,80,85,95,30,30,25,1,0,0
"['Lightningrod', 'Rock Head', 'Reckless']",Rhydon,112,Sidonサイドン,ground,rock,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,5120,70,120,60,Drill Pokémon,1250000,1.9,485,105,130,120,45,45,40,1,0,1
"['Natural Cure', 'Serene Grace', 'Healer']",Chansey,113,Luckyラッキー,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,10240,140,34.6,30,Egg Pokémon,800000,1.1,450,250,5,5,35,105,50,1,0,1
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",Tangela,114,Monjaraモンジャラ,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,5120,70,35,45,Vine Pokémon,1000000,1,435,65,55,115,100,40,60,1,0,0
"['Early Bird', 'Scrappy', 'Inner Focus']",Kangaskhan,115,Garuraガルーラ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,5120,70,80,45,Parent Pokémon,1000000,2.2,590,105,125,100,60,100,100,1,0,0
"['Swift Swim', 'Sniper', 'Damp']",Horsea,116,Tattuタッツー,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,8,225,Dragon Pokémon,1000000,0.4,295,30,40,70,70,25,60,1,0,0
"['Poison Point', 'Sniper', 'Damp']",Seadra,117,Seadraシードラ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,25,75,Dragon Pokémon,1000000,1.2,440,55,65,95,95,45,85,1,0,1
"['Swift Swim', 'Water Veil', 'Lightningrod']",Goldeen,118,Tosakintoトサキント,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,15,225,Goldfish Pokémon,1000000,0.6,320,45,67,60,35,50,63,1,0,0
"['Swift Swim', 'Water Veil', 'Lightningrod']",Seaking,119,Azumaoアズマオウ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,39,60,Goldfish Pokémon,1000000,1.3,450,80,92,65,65,80,68,1,0,1
"['Illuminate', 'Natural Cure', 'Analytic']",Staryu,120,Hitodemanヒトデマン,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,,5120,70,34.5,225,Starshape Pokémon,1250000,0.8,340,30,45,55,70,55,85,1,0,0
"['Illuminate', 'Natural Cure', 'Analytic']",Starmie,121,Starmieスターミー,water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,,5120,70,80,60,Mysterious Pokémon,1250000,1.1,520,60,75,85,100,85,115,1,0,1
"['Soundproof', 'Filter', 'Technician']",Mr. Mime,122,Barrierdバリヤード,psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,50,6400,70,54.5,45,Barrier Pokémon,1000000,1.3,460,40,45,65,100,120,90,1,0,0
"['Swarm', 'Technician', 'Steadfast']",Scyther,123,Strikeストライク,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,6400,70,56,45,Mantis Pokémon,1000000,1.5,500,70,110,80,55,80,105,1,0,0
"['Oblivious', 'Forewarn', 'Dry Skin']",Jynx,124,Rougelaルージュラ,ice,psychic,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,0,6400,70,40.6,45,Humanshape Pokémon,1000000,1.4,455,65,50,35,115,95,95,1,0,1
"['Static', 'Vital Spirit']",Electabuzz,125,Elebooエレブー,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75.4,6400,70,30,45,Electric Pokémon,1000000,1.1,490,65,83,57,95,85,105,1,0,1
"['Flame Body', 'Vital Spirit']",Magmar,126,Booberブーバー,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75.4,6400,70,44.5,45,Spitfire Pokémon,1000000,1.3,495,65,95,57,100,85,93,1,0,1
"['Hyper Cutter', 'Mold Breaker', 'Moxie']",Pinsir,127,Kailiosカイロス,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,6400,70,55,45,Stagbeetle Pokémon,1250000,1.5,600,65,155,120,65,90,105,1,0,0
"['Intimidate', 'Anger Point', 'Sheer Force']",Tauros,128,Kentaurosケンタロス,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,5120,70,88.4,45,Wild Bull Pokémon,1250000,1.4,490,75,100,95,40,70,110,1,0,0
"['Swift Swim', 'Rattled']",Magikarp,129,Koikingコイキング,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,1280,70,10,255,Fish Pokémon,1250000,0.9,200,20,10,55,15,20,80,1,0,0
"['Intimidate', 'Moxie']",Gyarados,130,Gyaradosギャラドス,water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,1280,70,235,45,Atrocious Pokémon,1250000,6.5,640,95,155,109,70,130,81,1,0,1
"['Water Absorb', 'Shell Armor', 'Hydration']",Lapras,131,Laplaceラプラス,water,ice,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,50,10240,70,220,45,Transport Pokémon,1250000,2.5,535,130,85,80,85,95,60,1,0,0
"['Limber', 'Imposter']",Ditto,132,Metamonメタモン,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,,5120,70,4,35,Transform Pokémon,1000000,0.3,288,48,48,48,48,48,48,1,0,0
"['Run Away', 'Adaptability', 'Anticipation']",Eevee,133,Eievuiイーブイ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,88.1,8960,70,6.5,45,Evolution Pokémon,1000000,0.3,325,55,55,50,45,65,55,1,0,0
"['Water Absorb', 'Hydration']",Vaporeon,134,Showersシャワーズ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,8960,70,29,45,Bubble Jet Pokémon,1000000,1,525,130,65,60,110,95,65,1,0,1
"['Volt Absorb', 'Quick Feet']",Jolteon,135,Thundersサンダース,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,88.1,8960,70,24.5,45,Lightning Pokémon,1000000,0.8,525,65,65,60,110,95,130,1,0,1
"['Flash Fire', 'Guts']",Flareon,136,Boosterブースター,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,8960,70,25,45,Flame Pokémon,1000000,0.9,525,65,130,60,95,110,65,1,0,1
"['Trace', 'Download', 'Analytic']",Porygon,137,Porygonポリゴン,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,,5120,70,36.5,45,Virtual Pokémon,1000000,0.8,395,65,60,70,85,75,40,1,0,0
"['Swift Swim', 'Shell Armor', 'Weak Armor']",Omanyte,138,Omniteオムナイト,rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,7680,70,7.5,45,Spiral Pokémon,1000000,0.4,355,35,40,100,90,55,35,1,0,0
"['Swift Swim', 'Shell Armor', 'Weak Armor']",Omastar,139,Omstarオムスター,rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,7680,70,35,45,Spiral Pokémon,1000000,1,495,70,60,125,115,70,55,1,0,1
"['Swift Swim', 'Battle Armor', 'Weak Armor']",Kabuto,140,Kabutoカブト,rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,7680,70,11.5,45,Shellfish Pokémon,1000000,0.5,355,30,80,90,55,45,55,1,0,0
"['Swift Swim', 'Battle Armor', 'Weak Armor']",Kabutops,141,Kabutopsカブトプス,rock,water,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,88.1,7680,70,40.5,45,Shellfish Pokémon,1000000,1.3,495,60,115,105,65,70,80,1,0,1
"['Rock Head', 'Pressure', 'Unnerve']",Aerodactyl,142,Pteraプテラ,rock,flying,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,88.1,8960,70,59,45,Fossil Pokémon,1250000,1.8,615,80,135,85,70,95,150,1,0,0
"['Immunity', 'Thick Fat', 'Gluttony']",Snorlax,143,Kabigonカビゴン,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,88.1,10240,70,460,25,Sleeping Pokémon,1250000,2.1,540,160,110,65,65,110,30,1,0,1
"['Pressure', 'Snow Cloak']",Articuno,144,Freezerフリーザー,ice,flying,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,,20480,35,55.4,3,Freeze Pokémon,1250000,1.7,580,90,85,100,95,125,85,1,1,0
"['Pressure', 'Static']",Zapdos,145,Thunderサンダー,electric,flying,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,,20480,35,52.6,3,Electric Pokémon,1250000,1.6,580,90,90,85,125,90,100,1,1,0
"['Pressure', 'Flame Body']",Moltres,146,Fireファイヤー,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,,20480,35,60,3,Flame Pokémon,1250000,2,580,90,100,90,125,85,90,1,1,0
"['Shed Skin', 'Marvel Scale']",Dratini,147,Miniryuミニリュウ,dragon,,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,50,10240,35,3.3,45,Dragon Pokémon,1250000,1.8,300,41,64,45,50,50,50,1,0,0
"['Shed Skin', 'Marvel Scale']",Dragonair,148,Hakuryuハクリュー,dragon,,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,50,10240,35,16.5,45,Dragon Pokémon,1250000,4,420,61,84,65,70,70,70,1,0,1
"['Inner Focus', 'Multiscale']",Dragonite,149,Kairyuカイリュー,dragon,flying,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,50,10240,35,210,45,Dragon Pokémon,1250000,2.2,600,91,134,95,100,100,80,1,0,2
"['Pressure', 'Unnerve']",Mewtwo,150,Mewtwoミュウツー,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,,30720,0,122,3,Genetic Pokémon,1250000,2,780,106,150,70,194,120,140,1,1,0
['Synchronize'],Mew,151,Mewミュウ,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,,30720,100,4,45,New Species Pokémon,1059860,0.4,600,100,100,100,100,100,100,1,1,0
"['Overgrow', 'Leaf Guard']",Chikorita,152,Chicoritaチコリータ,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,5120,70,6.4,45,Leaf Pokémon,1059860,0.9,318,45,49,65,49,65,45,2,0,0
"['Overgrow', 'Leaf Guard']",Bayleef,153,Bayleafベイリーフ,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,5120,70,15.8,45,Leaf Pokémon,1059860,1.2,405,60,62,80,63,80,60,2,0,1
"['Overgrow', 'Leaf Guard']",Meganium,154,Meganiumメガニウム,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,5120,70,100.5,45,Herb Pokémon,1059860,1.8,525,80,82,100,83,100,80,2,0,2
"['Blaze', 'Flash Fire']",Cyndaquil,155,Hinoarashiヒノアラシ,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,5120,70,7.9,45,Fire Mouse Pokémon,1059860,0.5,309,39,52,43,60,50,65,2,0,0
"['Blaze', 'Flash Fire']",Quilava,156,Magmarashiマグマラシ,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,5120,70,19,45,Volcano Pokémon,1059860,0.9,405,58,64,58,80,65,80,2,0,1
"['Blaze', 'Flash Fire']",Typhlosion,157,Bakphoonバクフーン,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,5120,70,79.5,45,Volcano Pokémon,1059860,1.7,534,78,84,78,109,85,100,2,0,2
"['Torrent', 'Sheer Force']",Totodile,158,Waninokoワニノコ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,5120,70,9.5,45,Big Jaw Pokémon,1059860,0.6,314,50,65,64,44,48,43,2,0,0
"['Torrent', 'Sheer Force']",Croconaw,159,Alligatesアリゲイツ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,5120,70,25,45,Big Jaw Pokémon,1059860,1.1,405,65,80,80,59,63,58,2,0,1
"['Torrent', 'Sheer Force']",Feraligatr,160,Ordileオーダイル,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,5120,70,88.8,45,Big Jaw Pokémon,1059860,2.3,530,85,105,100,79,83,78,2,0,2
"['Run Away', 'Keen Eye', 'Frisk']",Sentret,161,Otachiオタチ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,3840,70,6,255,Scout Pokémon,1000000,0.8,215,35,46,34,35,45,20,2,0,0
"['Run Away', 'Keen Eye', 'Frisk']",Furret,162,Ootachiオオタチ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,3840,70,32.5,90,Long Body Pokémon,1000000,1.8,415,85,76,64,45,55,90,2,0,1
"['Insomnia', 'Keen Eye', 'Tinted Lens']",Hoothoot,163,Hohoホーホー,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,21.2,255,Owl Pokémon,1000000,0.7,262,60,30,30,36,56,50,2,0,0
"['Insomnia', 'Keen Eye', 'Tinted Lens']",Noctowl,164,Yorunozukuヨルノズク,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,40.8,90,Owl Pokémon,1000000,1.6,452,100,50,50,86,96,70,2,0,1
"['Swarm', 'Early Bird', 'Rattled']",Ledyba,165,Redibaレディバ,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,3840,70,10.8,255,Five Star Pokémon,800000,1,265,40,20,30,40,80,55,2,0,0
"['Swarm', 'Early Bird', 'Iron Fist']",Ledian,166,Redianレディアン,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,3840,70,35.6,90,Five Star Pokémon,800000,1.4,390,55,35,50,55,110,85,2,0,1
"['Swarm', 'Insomnia', 'Sniper']",Spinarak,167,Itomaruイトマル,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,3840,70,8.5,255,String Spit Pokémon,800000,0.5,250,40,60,40,40,40,30,2,0,0
"['Swarm', 'Insomnia', 'Sniper']",Ariados,168,Ariadosアリアドス,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,3840,70,33.5,90,Long Leg Pokémon,800000,1.1,400,70,90,70,60,70,40,2,0,1
"['Inner Focus', 'Infiltrator']",Crobat,169,Crobatクロバット,poison,flying,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,50,3840,70,75,90,Bat Pokémon,1000000,1.8,535,85,90,80,70,80,130,2,0,2
"['Volt Absorb', 'Illuminate', 'Water Absorb']",Chinchou,170,Chonchieチョンチー,water,electric,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,50,5120,70,12,190,Angler Pokémon,1250000,0.5,330,75,38,38,56,56,67,2,0,0
"['Volt Absorb', 'Illuminate', 'Water Absorb']",Lanturn,171,Lanternランターン,water,electric,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5,50,5120,70,22.5,75,Light Pokémon,1250000,1.2,460,125,58,58,76,76,67,2,0,1
"['Static', 'Lightningrod']",Pichu,172,Pichuピチュー,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,2560,70,2,190,Tiny Mouse Pokémon,1000000,0.3,205,20,40,15,35,35,60,2,0,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",Cleffa,173,Pyピィ,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,2560,140,3,150,Star Shape Pokémon,800000,0.3,218,50,25,28,45,55,15,2,0,0
"['Cute Charm', 'Competitive', 'Friend Guard']",Igglybuff,174,Pupurinププリン,normal,fairy,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,24.6,2560,70,1,170,Balloon Pokémon,800000,0.3,210,90,30,15,40,20,15,2,0,0
"['Hustle', 'Serene Grace', 'Super Luck']",Togepi,175,Togepyトゲピー,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,88.1,2560,70,1.5,190,Spike Ball Pokémon,800000,0.3,245,35,20,65,40,65,20,2,0,0
"['Hustle', 'Serene Grace', 'Super Luck']",Togetic,176,Togechickトゲチック,fairy,flying,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1,88.1,2560,70,3.2,75,Happiness Pokémon,800000,0.6,405,55,40,85,80,105,40,2,0,1
"['Synchronize', 'Early Bird', 'Magic Bounce']",Natu,177,Natyネイティ,psychic,flying,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,5120,70,2,190,Little Bird Pokémon,1000000,0.2,320,40,50,45,70,45,70,2,0,0
"['Synchronize', 'Early Bird', 'Magic Bounce']",Xatu,178,Natioネイティオ,psychic,flying,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,50,5120,70,15,75,Mystic Pokémon,1000000,1.5,470,65,75,70,95,70,95,2,0,1
"['Static', 'Plus']",Mareep,179,Merriepメリープ,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,7.8,235,Wool Pokémon,1059860,0.6,280,55,40,40,65,45,35,2,0,0
"['Static', 'Plus']",Flaaffy,180,Mokokoモココ,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,13.3,120,Wool Pokémon,1059860,0.8,365,70,55,55,80,60,45,2,0,1
"['Static', 'Plus']",Ampharos,181,Denryuデンリュウ,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,61.5,45,Light Pokémon,1059860,1.4,610,90,95,105,165,110,45,2,0,2
"['Chlorophyll', 'Healer']",Bellossom,182,Kireihanaキレイハナ,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,5120,70,5.8,45,Flower Pokémon,1059860,0.4,490,75,80,95,90,100,50,2,0,2
"['Thick Fat', 'Huge Power', 'Sap Sipper']",Marill,183,Marilマリル,water,fairy,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,2560,70,8.5,190,Aquamouse Pokémon,800000,0.4,250,70,20,50,20,50,40,2,0,1
"['Thick Fat', 'Huge Power', 'Sap Sipper']",Azumarill,184,Marilliマリルリ,water,fairy,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,2560,70,28.5,75,Aquarabbit Pokémon,800000,0.8,420,100,50,80,60,80,50,2,0,2
"['Sturdy', 'Rock Head', 'Rattled']",Sudowoodo,185,Usokkieウソッキー,rock,,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,50,5120,70,38,65,Imitation Pokémon,1000000,1.2,410,70,100,115,30,65,30,2,0,1
"['Water Absorb', 'Damp', 'Drizzle']",Politoed,186,Nyorotonoニョロトノ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,33.9,45,Frog Pokémon,1059860,1.1,500,90,75,75,90,100,70,2,0,2
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Hoppip,187,Haneccoハネッコ,grass,flying,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,50,5120,70,0.5,255,Cottonweed Pokémon,1059860,0.4,250,35,35,40,35,55,50,2,0,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Skiploom,188,Popoccoポポッコ,grass,flying,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,50,5120,70,1,120,Cottonweed Pokémon,1059860,0.6,340,55,45,50,45,65,80,2,0,1
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",Jumpluff,189,Wataccoワタッコ,grass,flying,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,50,5120,70,3,45,Cottonweed Pokémon,1059860,0.8,460,75,55,70,55,95,110,2,0,2
"['Run Away', 'Pickup', 'Skill Link']",Aipom,190,Eipamエイパム,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,5120,70,11.5,45,Long Tail Pokémon,800000,0.8,360,55,70,55,40,55,85,2,0,0
"['Chlorophyll', 'Solar Power', 'Early Bird']",Sunkern,191,Himanutsヒマナッツ,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,5120,70,1.8,235,Seed Pokémon,1059860,0.3,180,30,30,30,30,30,30,2,0,0
"['Chlorophyll', 'Solar Power', 'Early Bird']",Sunflora,192,Kimawariキマワリ,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,5120,70,8.5,120,Sun Pokémon,1059860,0.8,425,75,75,55,105,85,30,2,0,1
"['Speed Boost', 'Compoundeyes', 'Frisk']",Yanma,193,Yanyanmaヤンヤンマ,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,5120,70,38,75,Clear Wing Pokémon,1000000,1.2,390,65,65,45,75,45,95,2,0,0
